Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1751460587.5575974,25,26,31,70,333,287,45,23
1751460587.580536,24,27,36,87,400,271,45,23
1751460587.6184652,25,26,40,83,373,235,49,25
1751460587.6403766,25,26,39,81,362,312,51,25
1751460587.6783054,26,26,38,83,375,293,44,23
1751460587.7002723,26,28,37,77,344,305,41,21
1751460587.7381434,23,29,35,74,325,175,28,20
1751460587.7601123,21,28,32,67,309,160,29,20
1751460587.7969863,22,25,25,74,326,117,31,22
1751460587.8279312,21,26,25,74,325,88,28,21
1751460587.8571115,23,23,26,85,385,73,28,19
1751460587.880796,24,24,29,71,280,55,26,19
1751460587.9167233,23,24,29,68,269,55,44,21
1751460587.940633,24,23,28,67,241,56,48,23
1751460587.977533,23,23,27,64,263,56,49,23
1751460588.0004292,25,24,27,69,285,57,46,21
1751460588.037329,30,56,44,77,291,69,31,21
1751460588.0602944,32,61,49,87,295,79,31,22
1751460588.105866,32,72,76,94,285,96,31,21
1751460588.1347702,33,77,85,92,282,100,31,24
1751460588.1577349,34,92,96,121,423,93,31,25
1751460588.18064,35,93,118,115,512,79,27,26
1751460588.2026083,36,93,117,117,523,74,29,29
1751460588.2404788,35,84,118,131,583,61,28,28
1751460588.2634432,34,77,119,110,535,63,28,26
1751460588.3003457,47,89,105,110,407,52,26,24
1751460588.3232567,47,104,105,106,419,58,24,23
1751460588.360218,50,139,162,162,407,57,27,24
1751460588.3831296,38,137,161,169,442,64,27,24
1751460588.4200304,56,151,171,177,540,73,33,21
1751460588.442969,57,140,155,181,479,79,33,27
1751460588.4818966,60,141,159,236,490,78,33,25
1751460588.5187945,63,146,158,228,439,69,34,27
1751460588.5556693,63,124,156,235,391,63,32,23
1751460588.5925694,57,128,180,194,352,64,30,25
1751460588.6234877,52,118,177,178,248,56,30,26
1751460588.660415,43,93,111,111,342,56,26,23
1751460588.682584,34,81,84,98,361,54,26,21
1751460588.72062,37,88,77,108,412,61,26,22
1751460588.7425897,37,71,54,102,459,58,27,22
